2023-03-24 00:59:19.264 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 00:59:47.320 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 00:59:50.095 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:01:11.714 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:01:13.874 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:02:06.376 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:02:09.209 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:02:31.095 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:02:33.941 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:02:41.207 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:02:42.238 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:02:47.995 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:02:48.361 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:04:49.005 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:06:46.822 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:06:49.572 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:07:23.181 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:07:25.223 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:07:33.502 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:07:35.710 | SUCCESS  | __main__:on_startup:16 - bot started
2023-03-24 01:07:39.419 | WARNING  | __main__:on_shutdown:20 - bot shutdown!
2023-03-24 01:12:40.431 | SUCCESS  | __main__:on_startup:17 - bot started
2023-03-24 01:12:51.598 | WARNING  | __main__:on_shutdown:21 - bot shutdown!
2023-03-24 01:12:54.480 | SUCCESS  | __main__:on_startup:17 - bot started
2023-03-24 01:12:55.474 | WARNING  | __main__:on_shutdown:21 - bot shutdown!
2023-03-24 01:13:11.875 | SUCCESS  | __main__:on_startup:17 - bot started
2023-03-24 01:16:48.938 | WARNING  | __main__:on_shutdown:21 - bot shutdown!
